               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071412,            0.049654,            0.026352,             0.37646,             0.29359,             0.19246,            0.073872,            0.048587,            0.028054,            0.014977,           0.0033319,           0.0033319,            0.070013
                   1,            0.057559,            0.041816,            0.014208,             0.53745,             0.29729,             0.26459,             0.10675,            0.045631,            0.026566,            0.012039,           0.0066637,           0.0066637,            0.040012
                   2,             0.05465,            0.041321,            0.012634,             0.70731,             0.28184,             0.31076,             0.12409,            0.045119,            0.027389,            0.011474,           0.0099896,           0.0099896,            0.010004
                   3,             0.05124,            0.042662,            0.011377,             0.73597,             0.29687,             0.34137,             0.14228,            0.043093,            0.026496,           0.0092801,             0.00998,             0.00998,             0.00998
                   4,            0.048129,            0.040682,            0.010281,             0.70176,              0.3524,             0.36701,             0.15105,              0.0421,            0.025828,           0.0085931,             0.00998,             0.00998,             0.00998
                   5,            0.046625,            0.040563,           0.0094981,             0.58736,             0.41546,             0.38915,             0.16347,            0.041496,            0.026009,           0.0081823,           0.0099645,           0.0099645,           0.0099645
                   6,            0.045774,            0.040297,           0.0091437,             0.59991,             0.42504,             0.41509,             0.17916,            0.040487,            0.025766,            0.007696,           0.0099446,           0.0099446,           0.0099446
                   7,            0.045052,            0.040174,           0.0086781,             0.67537,             0.44441,             0.43822,             0.18578,            0.040202,            0.025175,           0.0073039,           0.0099203,           0.0099203,           0.0099203
                   8,            0.044242,            0.039034,           0.0082412,             0.71799,             0.42694,             0.45042,             0.19178,            0.040369,            0.025044,           0.0069175,           0.0098916,           0.0098916,           0.0098916
                   9,            0.043921,             0.03943,           0.0081327,             0.67816,             0.45806,             0.45532,             0.19119,             0.04001,            0.025196,           0.0071639,           0.0098586,           0.0098586,           0.0098586
                  10,            0.043642,            0.039324,            0.007885,             0.73354,             0.46839,             0.49623,             0.21122,             0.03975,            0.024983,           0.0063636,           0.0098213,           0.0098213,           0.0098213
                  11,             0.04341,            0.039265,           0.0076278,             0.75277,             0.44777,             0.48714,             0.21135,            0.039539,            0.024967,           0.0062489,           0.0097798,           0.0097798,           0.0097798
                  12,            0.042863,            0.037789,           0.0073145,             0.78657,             0.45086,             0.50552,             0.21767,             0.03928,            0.024735,           0.0059595,            0.009734,            0.009734,            0.009734
                  13,             0.04268,            0.038768,           0.0070514,             0.80051,             0.46154,             0.51156,             0.22773,            0.038861,            0.024697,           0.0058711,            0.009684,            0.009684,            0.009684
                  14,            0.042322,            0.038039,            0.007003,             0.81004,             0.44544,             0.52218,             0.23223,            0.038725,            0.024384,           0.0057299,           0.0096299,           0.0096299,           0.0096299
                  15,            0.042068,            0.037898,           0.0069055,             0.81039,             0.45268,             0.52111,             0.23319,            0.038525,            0.024688,           0.0053722,           0.0095717,           0.0095717,           0.0095717
                  16,            0.042065,            0.038387,           0.0069254,             0.77464,             0.48488,             0.53212,             0.23692,            0.038562,            0.024486,           0.0052934,           0.0095095,           0.0095095,           0.0095095
