               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082179,            0.059233,             0.06712,            0.059638,             0.26564,             0.10254,            0.042797,            0.053815,            0.022813,            0.049384,            0.003326,            0.003326,            0.070066
                   1,            0.060378,            0.051266,            0.045526,             0.31047,             0.43353,             0.27838,             0.14238,            0.055949,            0.021731,            0.034832,           0.0066579,           0.0066579,            0.040064
                   2,            0.061215,            0.049494,            0.037976,             0.32927,             0.29165,             0.24438,            0.098749,            0.057137,            0.026678,            0.037559,           0.0099838,           0.0099838,            0.010057
                   3,            0.059622,            0.062868,            0.038426,             0.28438,             0.36765,             0.27559,             0.11606,            0.056697,             0.02639,            0.032941,             0.00998,             0.00998,             0.00998
                   4,            0.056083,            0.060382,            0.037727,             0.28463,             0.38811,             0.30157,             0.13267,            0.050955,            0.026315,            0.032022,             0.00998,             0.00998,             0.00998
                   5,            0.054523,            0.057908,            0.035944,             0.40432,             0.41936,             0.34323,             0.14974,            0.049859,            0.026804,             0.02739,           0.0099645,           0.0099645,           0.0099645
                   6,            0.053686,            0.057235,            0.033858,             0.37224,             0.45025,             0.37749,             0.16067,            0.049957,            0.027181,            0.029044,           0.0099446,           0.0099446,           0.0099446
                   7,            0.052908,            0.060943,            0.032302,             0.41181,             0.40586,             0.38734,             0.16203,             0.05069,              0.0264,            0.025975,           0.0099203,           0.0099203,           0.0099203
                   8,            0.051295,            0.059113,            0.030993,             0.56806,             0.35608,             0.40783,             0.18204,            0.049023,            0.025981,            0.025583,           0.0098916,           0.0098916,           0.0098916
                   9,            0.049864,            0.052973,            0.029678,             0.50714,             0.34331,             0.39726,             0.18203,            0.048754,            0.025646,            0.024054,           0.0098586,           0.0098586,           0.0098586
                  10,            0.049469,            0.057287,             0.02858,             0.60095,              0.3497,              0.4055,             0.16404,            0.047389,            0.025211,            0.023843,           0.0098213,           0.0098213,           0.0098213
